iter	Accuracy	MultiClass
0	0.2642857143	1.925481605
1	0.3785714286	1.896557149
2	0.3785714286	1.880836715
3	0.4428571429	1.847491698
4	0.4785714286	1.817387106
5	0.4642857143	1.795681609
6	0.4857142857	1.771444481
7	0.4857142857	1.755196465
8	0.4928571429	1.731031264
9	0.5071428571	1.711146534
10	0.4928571429	1.703439099
11	0.4928571429	1.683040641
12	0.4785714286	1.677153848
13	0.4785714286	1.662566869
14	0.4857142857	1.645111435
15	0.5	1.629700878
16	0.5	1.613094744
17	0.5142857143	1.599781525
18	0.5142857143	1.586193859
19	0.5428571429	1.569795972
20	0.5571428571	1.553449053
21	0.5571428571	1.542124934
22	0.5571428571	1.529551784
23	0.5714285714	1.510849586
24	0.5785714286	1.490884768
25	0.5857142857	1.476260845
26	0.6	1.464297297
27	0.6	1.455982918
28	0.6	1.453171024
29	0.6071428571	1.441805204
30	0.6071428571	1.429152245
31	0.6142857143	1.409957821
32	0.6285714286	1.403574231
33	0.6142857143	1.386762872
34	0.6285714286	1.372420881
35	0.6285714286	1.360771153
36	0.6214285714	1.342314356
37	0.6285714286	1.329009507
38	0.6214285714	1.315782399
39	0.6357142857	1.303316292
40	0.6214285714	1.292463031
41	0.6357142857	1.28064655
42	0.6142857143	1.273812591
43	0.6285714286	1.259685453
44	0.6357142857	1.245383672
45	0.65	1.231429717
46	0.6642857143	1.223573601
47	0.6785714286	1.208863268
48	0.6785714286	1.196227639
49	0.6857142857	1.187317
50	0.6857142857	1.177651596
51	0.7214285714	1.172856735
52	0.7214285714	1.16161405
53	0.7357142857	1.153341113
54	0.7357142857	1.143234621
55	0.75	1.133933565
56	0.75	1.12085925
57	0.7571428571	1.110298753
58	0.7571428571	1.096917454
59	0.7714285714	1.092845123
60	0.7571428571	1.084804595
61	0.7642857143	1.072642747
62	0.7571428571	1.059955123
63	0.7571428571	1.050657273
64	0.7571428571	1.040034152
65	0.7642857143	1.030670444
66	0.7714285714	1.02165841
67	0.7714285714	1.013380043
68	0.7928571429	1.001779165
69	0.8	0.9942046128
70	0.8214285714	0.9848988538
71	0.8285714286	0.9746307867
72	0.8428571429	0.9677871404
73	0.8357142857	0.958027202
74	0.85	0.9508555008
75	0.8571428571	0.9450624326
76	0.8571428571	0.9366027706
77	0.8642857143	0.928848274
78	0.8571428571	0.9214095756
79	0.8571428571	0.9141498544
80	0.8571428571	0.9098554305
81	0.8714285714	0.9009987446
82	0.8785714286	0.8930096422
83	0.8857142857	0.8860602554
84	0.8928571429	0.8768602233
85	0.8928571429	0.8684981221
86	0.8857142857	0.8615541772
87	0.8857142857	0.8574683113
88	0.8857142857	0.8515843697
89	0.8857142857	0.8435556824
90	0.8857142857	0.8392555146
91	0.8857142857	0.8335405692
92	0.8928571429	0.8287503325
93	0.8928571429	0.8233806786
94	0.8857142857	0.8186930883
95	0.8928571429	0.810362703
96	0.8928571429	0.8068784305
97	0.9	0.7997835946
98	0.9	0.7935243552
99	0.9	0.7890743903
