iter	Passed	Remaining
0	128	12770
1	166	8150
2	173	5617
3	212	5105
4	252	4800
5	313	4908
6	368	4893
7	400	4606
8	437	4425
9	483	4349
10	492	3983
11	535	3929
12	542	3632
13	595	3660
14	633	3589
15	673	3537
16	713	3485
17	770	3508
18	815	3475
19	854	3418
20	891	3353
21	932	3306
22	969	3244
23	1007	3191
24	1060	3180
25	1097	3124
26	1138	3079
27	1170	3010
28	1191	2916
29	1247	2910
30	1284	2859
31	1337	2842
32	1384	2810
33	1421	2759
34	1460	2713
35	1535	2730
36	1605	2733
37	1645	2684
38	1690	2643
39	1729	2594
40	1775	2554
41	1811	2502
42	1850	2453
43	1890	2405
44	1927	2356
45	1986	2331
46	2042	2302
47	2080	2253
48	2117	2204
49	2160	2160
50	2197	2111
51	2235	2063
52	2282	2024
53	2320	1977
54	2363	1933
55	2401	1886
56	2458	1854
57	2507	1815
58	2553	1774
59	2590	1726
60	2626	1679
61	2666	1634
62	2705	1588
63	2757	1550
64	2796	1505
65	2834	1459
66	2871	1414
67	2910	1369
68	2951	1326
69	2990	1281
70	3041	1242
71	3078	1197
72	3116	1152
73	3158	1109
74	3196	1065
75	3234	1021
76	3273	977
77	3309	933
78	3348	890
79	3410	852
80	3461	811
81	3499	768
82	3536	724
83	3597	685
84	3639	642
85	3695	601
86	3735	558
87	3777	515
88	3815	471
89	3851	427
90	3889	384
91	3928	341
92	3966	298
93	4007	255
94	4051	213
95	4090	170
96	4146	128
97	4186	85
98	4225	42
99	4262	0
